date,price,slug,question
2023-12-27 00:00:00+00:00,0.61,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2023-12-28 00:00:00+00:00,0.51,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2023-12-29 00:00:00+00:00,0.4,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2023-12-30 00:00:00+00:00,0.4,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2023-12-31 00:00:00+00:00,0.2,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-01 00:00:00+00:00,0.775,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-02 00:00:00+00:00,0.885,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-03 00:00:00+00:00,0.72,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-04 00:00:00+00:00,0.79,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-05 00:00:00+00:00,0.66,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-06 00:00:00+00:00,0.8,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-07 00:00:00+00:00,0.675,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-08 00:00:00+00:00,0.68,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-09 00:00:00+00:00,0.655,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-10 00:00:00+00:00,0.56,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-11 00:00:00+00:00,0.805,will-us-attack-yemen-before-february,Will US attack Yemen before February?
2024-01-12 00:00:00+00:00,0.985,will-us-attack-yemen-before-february,Will US attack Yemen before February?
