date,price,slug,question
2023-12-23 00:00:00+00:00,0.155,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2023-12-24 00:00:00+00:00,0.185,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2023-12-25 00:00:00+00:00,0.175,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2023-12-26 00:00:00+00:00,0.175,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2023-12-27 00:00:00+00:00,0.2,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2023-12-28 00:00:00+00:00,0.2,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2023-12-29 00:00:00+00:00,0.2,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2023-12-30 00:00:00+00:00,0.205,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2023-12-31 00:00:00+00:00,0.535,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2024-01-01 00:00:00+00:00,0.54,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2024-01-02 00:00:00+00:00,0.35,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2024-01-03 00:00:00+00:00,0.245,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2024-01-04 00:00:00+00:00,0.295,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2024-01-05 00:00:00+00:00,0.225,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2024-01-06 00:00:00+00:00,0.39,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2024-01-07 00:00:00+00:00,0.39,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
2024-01-08 00:00:00+00:00,0.39,will-joe-bidens-538-approval-rating-be-greater-than-39pt5-on-january-7,Will Joe Biden's 538 approval rating be greater than 39.5% on January 7?
